"GOTerm.identifier","GOTerm.name","GOTerm.namespace","GOTerm.description"
"GO:0005869","dynactin complex","cellular_component","A 20S multiprotein assembly of total mass about 1.2 MDa that activates dynein-based activity in vivo. A large structural component of the complex is an actin-like 40 nm filament composed of actin-related protein, to which other components attach."
"GO:0005871","kinesin complex","cellular_component","Any complex that includes a dimer of molecules from the kinesin superfamily, a group of related proteins that contain an extended region of predicted alpha-helical coiled coil in the main chain that likely produces dimerization. The native complexes of several kinesin family members have also been shown to contain additional peptides, often designated light chains as all of the noncatalytic subunits that are currently known are smaller than the chain that contains the motor unit. Kinesin complexes generally possess a force-generating enzymatic activity, or motor, which converts the free energy of the gamma phosphate bond of ATP into mechanical work."
"GO:0005874","microtubule","cellular_component","Any of the long, generally straight, hollow tubes of internal diameter 12-15 nm and external diameter 24 nm found in a wide variety of eukaryotic cells; each consists (usually) of 13 protofilaments of polymeric tubulin, staggered in such a manner that the tubulin monomers are arranged in a helical pattern on the microtubular surface, and with the alpha/beta axes of the tubulin subunits parallel to the long axis of the tubule; exist in equilibrium with pool of tubulin monomers and can be rapidly assembled or disassembled in response to physiological stimuli; concerned with force generation, e.g. in the spindle."
"GO:0005885","Arp2/3 protein complex","cellular_component","A stable protein complex that contains two actin-related proteins, Arp2 and Arp3, and five novel proteins (ARPC1-5), and functions in the nucleation of branched actin filaments."
"GO:0005886","plasma membrane","cellular_component","The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."
"GO:0005887","integral component of plasma membrane","cellular_component","The component of the plasma membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"GO:0005890","sodium:potassium-exchanging ATPase complex","cellular_component","Sodium:potassium-exchanging ATPases are tetrameric proteins, consisting of two large alpha subunits and two smaller beta subunits. The alpha subunits bear the active site and penetrate the membrane, while the beta subunits carry oligosaccharide groups and face the cell exterior."
"GO:0005891","voltage-gated calcium channel complex","cellular_component","A protein complex that forms a transmembrane channel through which calcium ions may pass in response to changes in membrane potential."
"GO:0005912","adherens junction","cellular_component","A cell-cell junction composed of the epithelial cadherin-catenin complex. The epithelial cadherins, or E-cadherins, of each interacting cell extend through the plasma membrane into the extracellular space and bind to each other. The E-cadherins bind to catenins on the cytoplasmic side of the membrane, where the E-cadherin-catenin complex binds to cytoskeletal components and regulatory and signaling molecules."
"GO:0005925","focal adhesion","cellular_component","A cell-substrate junction that anchors the cell to the extracellular matrix and that forms a point of termination of actin filaments. In insects focal adhesion has also been referred to as hemi-adherens junction (HAJ)."
"GO:0005929","cilium","cellular_component","A specialized eukaryotic organelle that consists of a filiform extrusion of the cell surface and of some cytoplasmic parts. Each cilium is largely bounded by an extrusion of the cytoplasmic (plasma) membrane, and contains a regular longitudinal array of microtubules, anchored to a basal body."
"GO:0005930","axoneme","cellular_component","The bundle of microtubules and associated proteins that forms the core of cilia (also called flagella) in eukaryotic cells and is responsible for their movements."
"GO:0005956","protein kinase CK2 complex","cellular_component","A protein complex that possesses protein serine/threonine kinase activity, and contains two catalytic alpha subunits and two regulatory beta subunits. Protein kinase CK2 complexes are found in nearly every subcellular compartment, and can phosphorylate many protein substrates in addition to casein."
"GO:0005960","glycine cleavage complex","cellular_component","A protein complex that catalyzes the reversible oxidation of glycine. In E. coli, it has four components: dihydrolipoamide dehydrogenase, glycine dehydrogenase (decarboxylating), lipoyl-GcvH-protein and aminomethyltransferase, also known as L, P, H, and T."
"GO:0005965","protein farnesyltransferase complex","cellular_component","A protein complex that possesses protein farnesyltransferase activity."
"GO:0005968","Rab-protein geranylgeranyltransferase complex","cellular_component","An protein-containing complex which catalyzes of the transfer of a geranyl-geranyl group from geranylgeranyl pyrophosphate to a Rab protein. In mammals it is composed of an alpha and a beta subunit, and associates with an accessory protein Rep (Rab escort protein)."
"GO:0005971","ribonucleoside-diphosphate reductase complex","cellular_component","An enzyme complex composed of 2-4 or more subunits, which usually contains nonheme iron and requires ATP for catalysis. Catalyzes the formation of 2'-deoxyribonucleoside diphosphate from ribonucleoside diphosphate, using either thioredoxin disulfide or glutaredoxin disulfide as an acceptor."
"GO:0005975","carbohydrate metabolic process","biological_process","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y. Includes the formation of carbohydrate derivatives by the addition of a carbohydrate residue to another molecule."
"GO:0005977","glycogen metabolic process","biological_process","The chemical reactions and pathways involving glycogen, a polydisperse, highly branched glucan composed of chains of D-glucose residues in alpha-(1->4) glycosidic linkage, joined together by alpha-(1->6) glycosidic linkages."
"GO:0005978","glycogen biosynthetic process","biological_process","The chemical reactions and pathways resulting in the formation of glycogen, a polydisperse, highly branched glucan composed of chains of D-glucose residues."
"GO:0005980","glycogen catabolic process","biological_process","The chemical reactions and pathways resulting in the breakdown of glycogen, a polydisperse, highly branched glucan composed of chains of D-glucose residues."
"GO:0005991","trehalose metabolic process","biological_process","The chemical reactions and pathways involving trehalose, a disaccharide isomeric with sucrose and obtained from certain lichens and fungi."
"GO:0005992","trehalose biosynthetic process","biological_process","The chemical reactions and pathways resulting in the formation of trehalose, a disaccharide isomeric with sucrose and obtained from certain lichens and fungi."
"GO:0006000","fructose metabolic process","biological_process","The chemical reactions and pathways involving fructose, the ketohexose arabino-2-hexulose. Fructose exists in a open chain form or as a ring compound. D-fructose is the sweetest of the sugars and is found free in a large number of fruits and honey."
"GO:0006003","fructose 2,6-bisphosphate metabolic process","biological_process","The chemical reactions and pathways involving fructose 2,6-bisphosphate. The D enantiomer is an important regulator of the glycolytic and gluconeogenic pathways. It inhibits fructose 1,6-bisphosphatase and activates phosphofructokinase."
"GO:0006006","glucose metabolic process","biological_process","The chemical reactions and pathways involving glucose, the aldohexose gluco-hexose. D-glucose is dextrorotatory and is sometimes known as dextrose; it is an important source of energy for living organisms and is found free as well as combined in homo- and hetero-oligosaccharides and polysaccharides."
"GO:0006012","galactose metabolic process","biological_process","The chemical reactions and pathways involving galactose, the aldohexose galacto-hexose. D-galactose is widely distributed in combined form in plants, animals and microorganisms as a constituent of oligo- and polysaccharides; it also occurs in galactolipids and as its glucoside in lactose and melibiose."
"GO:0006013","mannose metabolic process","biological_process","The chemical reactions and pathways involving mannose, the aldohexose manno-hexose, the C-2 epimer of glucose. The D-(+)-form is widely distributed in mannans and hemicelluloses and is of major importance in the core oligosaccharide of N-linked oligosaccharides of glycoproteins."
"GO:0006021","inositol biosynthetic process","biological_process","The chemical reactions and pathways resulting in the formation of inositol, 1,2,3,4,5,6-cyclohexanehexol, a growth factor for animals and microorganisms."
"GO:0006024","glycosaminoglycan biosynthetic process","biological_process","The chemical reactions and pathways resulting in the formation of glycosaminoglycans, any of a group of polysaccharides that contain amino sugars."
"GO:0006030","chitin metabolic process","biological_process","The chemical reactions and pathways involving chitin, a linear polysaccharide consisting of beta-(1->4)-linked N-acetyl-D-glucosamine residues."
"GO:0006044","N-acetylglucosamine metabolic process","biological_process","The chemical reactions and pathways involving N-acetylglucosamine. The D isomer is a common structural unit of glycoproteins in plants, bacteria and animals; it is often the terminal sugar of an oligosaccharide group of a glycoprotein."
"GO:0006048","UDP-N-acetylglucosamine biosynthetic process","biological_process","The chemical reactions and pathways resulting in the formation of UDP-N-acetylglucosamine, a substance composed of N-acetylglucosamine, a common structural unit of oligosaccharides, in glycosidic linkage with uridine diphosphate."
"GO:0006071","glycerol metabolic process","biological_process","The chemical reactions and pathways involving glycerol, 1,2,3-propanetriol, a sweet, hygroscopic, viscous liquid, widely distributed in nature as a constituent of many lipids."
"GO:0006072","glycerol-3-phosphate metabolic process","biological_process","The chemical reactions and pathways involving glycerol-3-phosphate, a phosphoric monoester of glycerol."
"GO:0006083","acetate metabolic process","biological_process","The chemical reactions and pathways involving acetate, the anion of acetic acid."
"GO:0006086","acetyl-CoA biosynthetic process from pyruvate","biological_process","The chemical reactions and pathways resulting in the formation of acetyl-CoA from pyruvate."
"GO:0006094","gluconeogenesis","biological_process","The formation of glucose from noncarbohydrate precursors, such as pyruvate, amino acids and glycerol."
"GO:0006096","glycolytic process","biological_process","The chemical reactions and pathways resulting in the breakdown of a carbohydrate into pyruvate, with the concomitant production of a small amount of ATP and the reduction of NAD(P) to NAD(P)H. Glycolysis begins with the metabolism of a carbohydrate to generate products that can enter the pathway and ends with the production of pyruvate. Pyruvate may be converted to acetyl-coenzyme A, ethanol, lactate, or other small molecules."
"GO:0006098","pentose-phosphate shunt","biological_process","The metabolic process in which glucose-6-phosphate is oxidized to form carbon dioxide (CO2) and ribulose 5-phosphate, coupled to reduction of NADP+ to NADPH; ribulose 5-P then enters a series of reactions that can yield biosynthetic precursors (ribose-5-phosphate and erythrose-4-phosphate) and glycolytic intermediates (fructose-6-phosphate and glyceraldehyde-3-phosphate)."
"GO:0006099","tricarboxylic acid cycle","biological_process","A nearly universal metabolic pathway in which the acetyl group of acetyl coenzyme A is effectively oxidized to two CO2 and four pairs of electrons are transferred to coenzymes. The acetyl group combines with oxaloacetate to form citrate, which undergoes successive transformations to isocitrate, 2-oxoglutarate, succinyl-CoA, succinate, fumarate, malate, and oxaloacetate again, thus completing the cycle. In eukaryotes the tricarboxylic acid is confined to the mitochondria. See also glyoxylate cycle."
"GO:0006102","isocitrate metabolic process","biological_process","The chemical reactions and pathways involving isocitrate, the anion of isocitric acid, 1-hydroxy-1,2,3-propanetricarboxylic acid. Isocitrate is an important intermediate in the TCA cycle and the glycoxylate cycle."
"GO:0006106","fumarate metabolic process","biological_process","The chemical reactions and pathways involving fumarate, the anion of trans-1,2-ethenedicarboxylic acid, the diastereoisomer of maleate. It is a key intermediate in metabolism and is formed in the TCA cycle from succinate and converted into malate."
"GO:0006108","malate metabolic process","biological_process","The chemical reactions and pathways involving malate, the anion of hydroxybutanedioic acid, a chiral hydroxydicarboxylic acid. The (+) enantiomer is an important intermediate in metabolism as a component of both the TCA cycle and the glyoxylate cycle."
"GO:0006120","mitochondrial electron transport, NADH to ubiquinone","biological_process","The transfer of electrons from NADH to ubiquinone that occurs during oxidative phosphorylation, mediated by the multisubunit enzyme known as complex I."
"GO:0006122","mitochondrial electron transport, ubiquinol to cytochrome c","biological_process","The transfer of electrons from ubiquinol to cytochrome c that occurs during oxidative phosphorylation, mediated by the multisubunit enzyme known as complex III."
"GO:0006139","nucleobase-containing compound metabolic process","biological_process","Any cellular metabolic process involving nucleobases, nucleosides, nucleotides and nucleic acids."
"GO:0006147","guanine catabolic process","biological_process","The chemical reactions and pathways resulting in the breakdown of guanine, 2-amino-6-hydroxypurine, a purine that is one of the five main bases found in nucleic acids and a component of a number of phosphorylated guanosine derivatives whose metabolic or regulatory functions are important."
"GO:0006164","purine nucleotide biosynthetic process","biological_process","The chemical reactions and pathways resulting in the formation of a purine nucleotide, a compound consisting of nucleoside (a purine base linked to a deoxyribose or ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar."
"GO:0006171","cAMP biosynthetic process","biological_process","The chemical reactions and pathways resulting in the formation of the nucleotide cAMP (cyclic AMP, adenosine 3',5'-cyclophosphate)."
"GO:0006177","GMP biosynthetic process","biological_process","The chemical reactions and pathways resulting in the formation of GMP, guanosine monophosphate."
"GO:0006182","cGMP biosynthetic process","biological_process","The chemical reactions and pathways resulting in the formation of cyclic GMP, guanosine 3',5'-phosphate."
"GO:0006189","'de novo' IMP biosynthetic process","biological_process","The chemical reactions and pathways resulting in the formation of IMP, inosine monophosphate, by the stepwise assembly of a purine ring on ribose 5-phosphate."
"GO:0006207","'de novo' pyrimidine nucleobase biosynthetic process","biological_process","The chemical reactions and pathways resulting in the formation of pyrimidine nucleobases, 1,3-diazine, organic nitrogenous bases, beginning with the synthesis of a pyrimidine ring from simpler precursors."
"GO:0006211","5-methylcytosine catabolic process","biological_process","The chemical reactions and pathways resulting in the breakdown of 5-methylcytosine, a methylated base of DNA."
"GO:0006221","pyrimidine nucleotide biosynthetic process","biological_process","The chemical reactions and pathways resulting in the formation of a pyrimidine nucleotide, a compound consisting of nucleoside (a pyrimidine base linked to a deoxyribose or ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar."
"GO:0006259","DNA metabolic process","biological_process","Any cellular metabolic process involving deoxyribonucleic acid. This is one of the two main types of nucleic acid, consisting of a long, unbranched macromolecule formed from one, or more commonly, two, strands of linked deoxyribonucleotides."
"GO:0006260","DNA replication","biological_process","The cellular metabolic process in which a cell duplicates one or more molecules of DNA. DNA replication begins when specific sequences, known as origins of replication, are recognized and bound by initiation proteins, and ends when the original DNA molecule has been completely duplicated and the copies topologically separated. The unit of replication usually corresponds to the genome of the cell, an organelle, or a virus. The template for replication can either be an existing DNA molecule or RNA."
"GO:0006261","DNA-dependent DNA replication","biological_process","A DNA replication process that uses parental DNA as a template for the DNA-dependent DNA polymerases that synthesize the new strands."
"GO:0006265","DNA topological change","biological_process","The process in which a transformation is induced in the topological structure of a double-stranded DNA helix, resulting in a change in linking number."
"GO:0006269","DNA replication, synthesis of RNA primer","biological_process","The synthesis of a short RNA polymer, usually 4-15 nucleotides long, using one strand of unwound DNA as a template; the RNA then serves as a primer from which DNA polymerases extend synthesis."
"GO:0006270","DNA replication initiation","biological_process","The process in which DNA-dependent DNA replication is started; this begins with the ATP dependent loading of an initiator complex onto the DNA, this is followed by DNA melting and helicase activity. In bacteria, the gene products that enable the helicase activity are loaded after the initial melting and in archaea and eukaryotes, the gene products that enable the helicase activity are inactive when they are loaded and subsequently activate."
"GO:0006275","regulation of DNA replication","biological_process","Any process that modulates the frequency, rate or extent of DNA replication."
"GO:0006281","DNA repair","biological_process","The process of restoring DNA after damage. Genomes are subject to damage by chemical and physical agents in the environment (e.g. UV and ionizing radiations, chemical mutagens, fungal and bacterial toxins, etc.) and by free radicals or alkylating agents endogenously generated in metabolism. DNA is also damaged because of errors during its replication. A variety of different DNA repair pathways have been reported that include direct reversal, base excision repair, nucleotide excision repair, photoreactivation, bypass, double-strand break repair pathway, and mismatch repair pathway."
"GO:0006284","base-excision repair","biological_process","In base excision repair, an altered base is removed by a DNA glycosylase enzyme, followed by excision of the resulting sugar phosphate. The small gap left in the DNA helix is filled in by the sequential action of DNA polymerase and DNA ligase."
"GO:0006289","nucleotide-excision repair","biological_process","A DNA repair process in which a small region of the strand surrounding the damage is removed from the DNA helix as an oligonucleotide. The small gap left in the DNA helix is filled in by the sequential action of DNA polymerase and DNA ligase. Nucleotide excision repair recognizes a wide range of substrates, including damage caused by UV irradiation (pyrimidine dimers and 6-4 photoproducts) and chemicals (intrastrand cross-links and bulky adducts)."
"GO:0006298","mismatch repair","biological_process","A system for the correction of errors in which an incorrect base, which cannot form hydrogen bonds with the corresponding base in the parent strand, is incorporated into the daughter strand. The mismatch repair system promotes genomic fidelity by repairing base-base mismatches, insertion-deletion loops and heterologies generated during DNA replication and recombination."
"GO:0006301","postreplication repair","biological_process","The conversion of DNA-damage induced single-stranded gaps into large molecular weight DNA after replication. Includes pathways that remove replication-blocking lesions in conjunction with DNA replication."
"GO:0006302","double-strand break repair","biological_process","The repair of double-strand breaks in DNA via homologous and nonhomologous mechanisms to reform a continuous DNA helix."
"GO:0006303","double-strand break repair via nonhomologous end joining","biological_process","The repair of a double-strand break in DNA in which the two broken ends are rejoined with little or no sequence complementarity. Information at the DNA ends may be lost due to the modification of broken DNA ends. This term covers instances of separate pathways, called classical (or canonical) and alternative nonhomologous end joining (C-NHEJ and A-NHEJ). These in turn may further branch into sub-pathways, but evidence is still unclear."
"GO:0006309","apoptotic DNA fragmentation","biological_process","The cleavage of DNA during apoptosis, which usually occurs in two stages: cleavage into fragments of about 50 kbp followed by cleavage between nucleosomes to yield 200 bp fragments."
"GO:0006310","DNA recombination","biological_process","Any process in which a new genotype is formed by reassortment of genes resulting in gene combinations different from those that were present in the parents. In eukaryotes genetic recombination can occur by chromosome assortment, intrachromosomal recombination, or nonreciprocal interchromosomal recombination. Interchromosomal recombination occurs by crossing over. In bacteria it may occur by genetic transformation, conjugation, transduction, or F-duction."
"GO:0006313","transposition, DNA-mediated","biological_process","Any process involved in a type of transpositional recombination which occurs via a DNA intermediate."
"GO:0006325","chromatin organization","biological_process","Any process that results in the specification, formation or maintenance of the physical structure of eukaryotic chromatin."
"GO:0006333","chromatin assembly or disassembly","biological_process","The formation or destruction of chromatin structures."
"GO:0006334","nucleosome assembly","biological_process","The aggregation, arrangement and bonding together of a nucleosome, the beadlike structural units of eukaryotic chromatin composed of histones and DNA."
"GO:0006336","DNA replication-independent nucleosome assembly","biological_process","The formation of nucleosomes outside the context of DNA replication."
"GO:0006338","chromatin remodeling","biological_process","Dynamic structural changes to eukaryotic chromatin occurring throughout the cell division cycle. These changes range from the local changes necessary for transcriptional regulation to global changes necessary for chromosome segregation."
"GO:0006348","chromatin silencing at telomere","biological_process","Repression of transcription of telomeric DNA by altering the structure of chromatin."
"GO:0006351","transcription, DNA-templated","biological_process","The cellular synthesis of RNA on a template of DNA."
"GO:0006352","DNA-templated transcription, initiation","biological_process","Any process involved in the assembly of the RNA polymerase preinitiation complex (PIC) at the core promoter region of a DNA template, resulting in the subsequent synthesis of RNA from that promoter. The initiation phase includes PIC assembly and the formation of the first few bonds in the RNA chain, including abortive initiation, which occurs when the first few nucleotides are repeatedly synthesized and then released. The initiation phase ends just before and does not include promoter clearance, or release, which is the transition between the initiation and elongation phases of transcription."
"GO:0006355","regulation of transcription, DNA-templated","biological_process","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"GO:0006357","regulation of transcription by RNA polymerase II","biological_process","Any process that modulates the frequency, rate or extent of transcription mediated by RNA polymerase II."
"GO:0006360","transcription by RNA polymerase I","biological_process","The synthesis of RNA from a DNA template by RNA polymerase I (RNAP I), originating at an RNAP I promoter."
"GO:0006364","rRNA processing","biological_process","Any process involved in the conversion of a primary ribosomal RNA (rRNA) transcript into one or more mature rRNA molecules."
"GO:0006366","transcription by RNA polymerase II","biological_process","The synthesis of RNA from a DNA template by RNA polymerase II (RNAP II), originating at an RNA polymerase II promoter. Includes transcription of messenger RNA (mRNA) and certain small nuclear RNAs (snRNAs)."
"GO:0006367","transcription initiation from RNA polymerase II promoter","biological_process","Any process involved in the assembly of the RNA polymerase II preinitiation complex (PIC) at an RNA polymerase II promoter region of a DNA template, resulting in the subsequent synthesis of RNA from that promoter. The initiation phase includes PIC assembly and the formation of the first few bonds in the RNA chain, including abortive initiation, which occurs when the first few nucleotides are repeatedly synthesized and then released. Promoter clearance, or release, is the transition between the initiation and elongation phases of transcription."
"GO:0006368","transcription elongation from RNA polymerase II promoter","biological_process","The extension of an RNA molecule after transcription initiation and promoter clearance at an RNA polymerase II promoter by the addition of ribonucleotides catalyzed by RNA polymerase II."
"GO:0006370","7-methylguanosine mRNA capping","biological_process","Addition of the 7-methylguanosine cap to the 5' end of a nascent messenger RNA transcript."
"GO:0006376","mRNA splice site selection","biological_process","Selection of a splice site by components of the assembling spliceosome."
"GO:0006378","mRNA polyadenylation","biological_process","The enzymatic addition of a sequence of 40-200 adenylyl residues at the 3' end of a eukaryotic mRNA primary transcript."
"GO:0006379","mRNA cleavage","biological_process","Any process in which a pre-mRNA or mRNA molecule is cleaved at specific sites or in a regulated manner."
"GO:0006383","transcription by RNA polymerase III","biological_process","The synthesis of RNA from a DNA template by RNA polymerase III, originating at an RNAP III promoter."
"GO:0006384","transcription initiation from RNA polymerase III promoter","biological_process","Any process involved in the assembly of the RNA polymerase III preinitiation complex (PIC) at an RNA polymerase III promoter region of a DNA template, resulting in the subsequent synthesis of RNA from that promoter. The initiation phase includes PIC assembly and the formation of the first few bonds in the RNA chain, including abortive initiation, which occurs when the first few nucleotides are repeatedly synthesized and then released. Promoter clearance, or release, is the transition between the initiation and elongation phases of transcription."
"GO:0006388","tRNA splicing, via endonucleolytic cleavage and ligation","biological_process","Splicing of tRNA substrates via recognition of the folded RNA structure that brings the 5' and 3' splice sites into proximity and cleavage of the RNA at both the 3' and 5' splice sites by an endonucleolytic mechanism, followed by ligation of the exons."
"GO:0006391","transcription initiation from mitochondrial promoter","biological_process","A transcription initiation process that takes place at a promoter on the mitochondrial chromosome, and results in RNA synthesis by a mitochondrial RNA polymerase."
"GO:0006392","transcription elongation from mitochondrial promoter","biological_process","The extension of an RNA molecule after transcription initiation and promoter clearance at mitochondrial promoter by the addition of ribonucleotides catalyzed by a mitchondrial RNA polymerase."
"GO:0006396","RNA processing","biological_process","Any process involved in the conversion of one or more primary RNA transcripts into one or more mature RNA molecules."
"GO:0006397","mRNA processing","biological_process","Any process involved in the conversion of a primary mRNA transcript into one or more mature mRNA(s) prior to translation into polypeptide."
"GO:0006400","tRNA modification","biological_process","The covalent alteration of one or more nucleotides within a tRNA molecule to produce a tRNA molecule with a sequence that differs from that coded genetically."
"GO:0006401","RNA catabolic process","biological_process","The chemical reactions and pathways resulting in the breakdown of RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage."
"GO:0006402","mRNA catabolic process","biological_process","The chemical reactions and pathways resulting in the breakdown of mRNA, messenger RNA, which is responsible for carrying the coded genetic 'message', transcribed from DNA, to sites of protein assembly at the ribosomes."
"GO:0006406","mRNA export from nucleus","biological_process","The directed movement of mRNA from the nucleus to the cytoplasm."
"GO:0006408","snRNA export from nucleus","biological_process","The directed movement of snRNA from the nucleus to the cytoplasm."
"GO:0006412","translation","biological_process","The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA or circRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA or circRNA. Translation ends with the release of a polypeptide chain from the ribosome."
"GO:0006413","translational initiation","biological_process","The process preceding formation of the peptide bond between the first two amino acids of a protein. This includes the formation of a complex of the ribosome, mRNA or circRNA, and an initiation complex that contains the first aminoacyl-tRNA."
"GO:0006414","translational elongation","biological_process","The successive addition of amino acid residues to a nascent polypeptide chain during protein biosynthesis."
"GO:0006415","translational termination","biological_process","The process resulting in the release of a polypeptide chain from the ribosome, usually in response to a termination codon (UAA, UAG, or UGA in the universal genetic code)."
"GO:0006417","regulation of translation","biological_process","Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of proteins by the translation of mRNA or circRNA."
"GO:0006418","tRNA aminoacylation for protein translation","biological_process","The synthesis of aminoacyl tRNA by the formation of an ester bond between the 3'-hydroxyl group of the most 3' adenosine of the tRNA and the alpha carboxylic acid  group of an amino acid, to be used in ribosome-mediated polypeptide synthesis."
"GO:0006419","alanyl-tRNA aminoacylation","biological_process","The process of coupling alanine to alanyl-tRNA, catalyzed by alanyl-tRNA synthetase. The alanyl-tRNA synthetase is a  class-II synthetases. The activated amino acid is transferred to the 3'-OH group of an alanine accetping tRNA."
"GO:0006420","arginyl-tRNA aminoacylation","biological_process","The process of coupling arginine to arginyl-tRNA, catalyzed by arginyl-tRNA synthetase. The arginyl-tRNA synthetase is a  class-I synthetase. The activated amino acid is transferred to the 2'-OH group of an alanine accetping tRNA.  The  2'-O-aminoacyl-tRNA will ultimately migrate to the 3' position via transesterification."
"GO:0006422","aspartyl-tRNA aminoacylation","biological_process","The process of coupling aspartate to aspartyl-tRNA, catalyzed by aspartyl-tRNA synthetase. The aspartyl-tRNA synthetase is a  class-II synthetase. The activated amino acid is transferred to the 3'-OH group of an aspartic acid  accetping tRNA."
"GO:0006425","glutaminyl-tRNA aminoacylation","biological_process","The process of coupling glutamine to glutaminyl-tRNA, catalyzed by glutaminyl-tRNA synthetase. The glutaminyl-tRNA synthetase is a  class-I synthetase. The activated amino acid is transferred to the 2'-OH group of a glutamine-accetping tRNA. The 2'-O-aminoacyl-tRNA will ultimately migrate to the 3' position via transesterification."
"GO:0006429","leucyl-tRNA aminoacylation","biological_process","The process of coupling leucine to leucyl-tRNA, catalyzed by leucyl-tRNA synthetase. The leucyl-tRNA synthetase is a  class-I synthetase. The activated amino acid is transferred to the 2'-OH group of a leucine-accetping tRNA. The 2'-O-aminoacyl-tRNA will ultimately migrate to the 3' position via transesterification."
"GO:0006432","phenylalanyl-tRNA aminoacylation","biological_process","The process of coupling phenylalanine to phenylalanyl-tRNA, catalyzed by phenylalanyl-tRNA synthetase. The phenylalanyl-tRNA synthetase is a  class-II synthetase. However, unlike other class II enzymes, The activated amino acid is transferred to the 2'-OH group of a phenylalanine-accepting tRNA. The 2'-O-aminoacyl-tRNA will ultimately migrate to the 3' position via transesterification."
"GO:0006433","prolyl-tRNA aminoacylation","biological_process","The process of coupling proline to prolyl-tRNA, catalyzed by prolyl-tRNA synthetase. The prolyl-tRNA synthetase is a  class-II synthetase. The activated amino acid is transferred to the 3'-OH group of a methionine-accetping tRNA."
"GO:0006434","seryl-tRNA aminoacylation","biological_process","The process of coupling serine to seryl-tRNA, catalyzed by seryl-tRNA synthetase. The seryl-tRNA synthetase is a  class-II synthetase. The activated amino acid is transferred to the 3'-OH group of a serine-accetping tRNA."
"GO:0006435","threonyl-tRNA aminoacylation","biological_process","The process of coupling threonine to threonyl-tRNA, catalyzed by threonyl-tRNA synthetase. The threonyl-tRNA synthetase is a  class-II synthetase. The activated amino acid is transferred to the 3'-OH group of a threonine-accetping tRNA."
"GO:0006450","regulation of translational fidelity","biological_process","Any process that modulates the ability of the translational apparatus to interpret the genetic code."
"GO:0006452","translational frameshifting","biological_process","A mechanism whereby different proteins may result from a single mRNA molecule, due to a change in the parsing of three nucleotides per codon relative to an initiating AUG codon."
"GO:0006457","protein folding","biological_process","The process of assisting in the covalent and noncovalent assembly of single chain polypeptides or multisubunit complexes into the correct tertiary structure."
"GO:0006464","cellular protein modification process","biological_process","The covalent alteration of one or more amino acids occurring in proteins, peptides and nascent polypeptides (co-translational, post-translational modifications) occurring at the level of an individual cell. Includes the modification of charged tRNAs that are destined to occur in a protein (pre-translation modification)."
"GO:0006465","signal peptide processing","biological_process","The proteolytic removal of a signal peptide from a protein during or after transport to a specific location in the cell."
"GO:0006468","protein phosphorylation","biological_process","The process of introducing a phosphate group on to a protein."
"GO:0006469","negative regulation of protein kinase activity","biological_process","Any process that stops, prevents, or reduces the frequency, rate or extent of protein kinase activity."
"GO:0006470","protein dephosphorylation","biological_process","The process of removing one or more phosphoric residues from a protein."
"GO:0006471","protein ADP-ribosylation","biological_process","The transfer, from NAD, of ADP-ribose to protein amino acids."
"GO:0006478","peptidyl-tyrosine sulfation","biological_process","The sulfation of peptidyl-tyrosine residues to form peptidyl-O4'-sulfo-L-tyrosine."
"GO:0006479","protein methylation","biological_process","The addition of a methyl group to a protein amino acid. A methyl group is derived from methane by the removal of a hydrogen atom."
"GO:0006480","N-terminal protein amino acid methylation","biological_process","The methylation of the N-terminal amino acid of a protein."
"GO:0006481","C-terminal protein methylation","biological_process","The methylation of the C-terminal amino acid of a protein."
"GO:0006482","protein demethylation","biological_process","The removal of a methyl group, from a protein amino acid. A methyl group is derived from methane by the removal of a hydrogen atom."
"GO:0006486","protein glycosylation","biological_process","A protein modification process that results in the addition of a carbohydrate or carbohydrate derivative unit to a protein amino acid, e.g. the addition of glycan chains to proteins."
"GO:0006487","protein N-linked glycosylation","biological_process","A protein glycosylation process in which a carbohydrate or carbohydrate derivative unit is added to a protein via the N4 atom of peptidyl-asparagine, the omega-N of arginine, or the N1' atom peptidyl-tryptophan."
"GO:0006488","dolichol-linked oligosaccharide biosynthetic process","biological_process","The chemical reactions and pathways resulting in the formation of dolichol-linked oligosaccharide, usually by a stepwise addition of glycosyl chains to endoplasmic reticulum membrane-bound dolichol-P."
